source,feature,ctcf_motif_cosine,mean_activation,activation_frequency
mlp,431,0.022036392469436943,0.5503901839256287,0.48388671875
mlp,246,0.02088257473011021,0.5334353446960449,0.48583984375
mlp,503,0.020869896128274983,0.5131902694702148,0.490234375
mlp,156,0.020437920052380612,0.5017126202583313,0.498046875
mlp,123,0.02037594707197756,0.5213167071342468,0.48779296875
mlp,290,0.020110341941545345,0.4999941885471344,0.4833984375
mlp,272,0.020019879779634247,0.479220986366272,0.47900390625
mlp,422,0.019595608464502,0.5184762477874756,0.494140625
mlp,151,0.018618320759113644,0.5654631853103638,0.46923828125
mlp,165,0.018366523734779913,0.5402776002883911,0.4970703125
mlp,89,0.018116798325378162,0.5443353652954102,0.4833984375
mlp,352,0.018101476526220853,0.5202724933624268,0.48193359375
mlp,439,0.017921645760898323,0.48673951625823975,0.48291015625
mlp,275,0.017584964220529152,0.48024338483810425,0.48583984375
mlp,206,0.017580851048846487,0.5213893055915833,0.484375
mlp,237,0.01756509080256931,0.52245032787323,0.4921875
mlp,325,0.017547870556773544,0.5479123592376709,0.4990234375
mlp,13,0.017357796922007323,0.5284426212310791,0.4794921875
mlp,336,0.01723925000162227,0.5441852807998657,0.490234375
mlp,338,0.016906721018777365,0.5232887268066406,0.49658203125
mlp,487,0.016896772019173025,0.5541865825653076,0.4873046875
mlp,499,0.016884723486791983,0.5684523582458496,0.50146484375
mlp,16,0.016641440306756437,0.5390021800994873,0.50390625
mlp,300,0.016503301480132057,0.5310070514678955,0.50537109375
mlp,75,0.01604107398230033,0.528337836265564,0.490234375
mlp,421,0.015868514561699906,0.5195198059082031,0.49267578125
mlp,386,0.015753678180886566,0.5033899545669556,0.4794921875
mlp,155,0.015466931780720845,0.5878728032112122,0.49951171875
mlp,43,0.015413174146154493,0.520989179611206,0.49658203125
mlp,282,0.014822952403046027,0.5453789234161377,0.5
mlp,178,0.014769106480637072,0.5311880707740784,0.48388671875
mlp,72,0.01475488710244674,0.5260294079780579,0.4814453125
mlp,348,0.014002523135701187,0.494718462228775,0.48193359375
mlp,339,0.014000219138776462,0.5394271612167358,0.50732421875
mlp,378,0.01396778942870916,0.48710906505584717,0.49072265625
mlp,257,0.01392396487887322,0.5173189043998718,0.50048828125
mlp,231,0.013734502463900261,0.5567521452903748,0.4951171875
mlp,144,0.013582117874564538,0.4990023970603943,0.49365234375
mlp,471,0.013396667602245154,0.4756634831428528,0.494140625
mlp,442,0.013162041198553744,0.49987512826919556,0.509765625
mlp,413,0.013122404913850028,0.47298192977905273,0.47021484375
mlp,357,0.01253443182786209,0.5132947564125061,0.494140625
mlp,34,0.012304526081045977,0.5245820879936218,0.48828125
mlp,46,0.01192578016973912,0.4844732880592346,0.482421875
mlp,463,0.01191074889321646,0.49931079149246216,0.48486328125
mlp,108,0.011619664876749229,0.5250526666641235,0.48193359375
mlp,389,0.01085877071473905,0.5271589756011963,0.4873046875
mlp,189,0.010857299018823343,0.5093168020248413,0.48095703125
mlp,152,0.010794926847456966,0.5097004175186157,0.498046875
mlp,171,0.010778045641339636,0.5072011947631836,0.49462890625
mlp,49,0.010745426350080089,0.5206830501556396,0.49951171875
mlp,209,0.01049551542426918,0.557030200958252,0.48095703125
mlp,29,0.010400295588436682,0.5078871250152588,0.486328125
mlp,430,0.010391682419197483,0.48831191658973694,0.46875
mlp,448,0.010382099927453627,0.5154494643211365,0.4912109375
mlp,314,0.010236520129354894,0.5412143468856812,0.505859375
mlp,328,0.01005614252703766,0.5448737144470215,0.50146484375
mlp,302,0.009997366755824064,0.5590560436248779,0.4970703125
mlp,311,0.009465186504824502,0.5308927297592163,0.5
mlp,70,0.009365247880335735,0.5268028974533081,0.49609375
mlp,28,0.009161740409023357,0.5381876230239868,0.5009765625
mlp,371,0.008722010666335248,0.49477919936180115,0.501953125
mlp,114,0.008648784278386869,0.532211422920227,0.49853515625
mlp,207,0.008117350190081005,0.5247392654418945,0.4931640625
mlp,82,0.007915382170751042,0.5230710506439209,0.498046875
mlp,139,0.007834874916385955,0.5273746252059937,0.4853515625
mlp,417,0.007490739332139779,0.48999324440956116,0.47412109375
mlp,111,0.007484847396036045,0.5332433581352234,0.50830078125
mlp,55,0.007361095589686007,0.5382345914840698,0.48291015625
mlp,361,0.007280339993058906,0.5702715516090393,0.5029296875
mlp,345,0.007033201023512116,0.5532790422439575,0.47900390625
